2,588
33,031
8,895
0,987
1,418
5,609
5,900
0,326
0,737
1,193
7,647
8,225
2,981
3,436
1,568
11,890
0,345
27,693
9,920
31,427
100,896
1,456
4,996
3,708
36,101
9,173
28,048
44,792
28,593
12,695
58,107
3,312
0,099
13,254
1,045
8,321
0,077
57,862
1,320
9,767
2,746
151,845
127,898
0,403
5,624
1,608
57,038
44,111
1,827
7,105
7,243
5,818
12,941
0,938
5,822
5,240
1,572
5,497
1,945
6,883
187,818
0,057
0,749
11,384
2,434
17,949
2,122
30,287
6,645
0,315
0,009
1,013
3,305
0,244
0,903
2,020
120,055
8,842
3,204
2,344
3,368
5,317
1,475
185,605
4,221
91,320
6,891
4,681
0,598
4,759
2,162
1,331
3,588
104,099
91,665
0,882
0,699
31,608
1,324
2,775
0,489
5,430
12,623
1,956
2,391
0,815
0,411
3,706
2,825
5,664
4,030
11,393
5,488
16,997
0,549
2,482
1,749
46,418
1,336
49,501
1,257
2,983
4,328
4,566
3,346
23,209
5,160
69,156
2,553
1,268
3,010
57,382
0,122
11,744
9,043
1,089
0,228
4,243
0,840
0,972
0,729
7,102
8,768
24,067
5,135
1,321
4,486
3,778
11,582
1,534
8,059
9,184
1,017
2,613
3,978
10,302
78,644
0,387
1,285
1,616
9,201
15,339
1,758
6,240
13,741
0,732
1,969
0,999
0,955
37,326
8,346
2,155
7,076
6,379
55,187
0,861
18,879
2,091
5,426
4,934
3,289
27,865
3,314
2,141
1,234
4,742
7,862
1,735
19,408
0,660
5,515
5,229
57,602
0,103
35,514
2,057
2,699
2,014
6,975
0,139
6,110
30,183
3,768
2,596
9,718
10,656
0,662
2,273
189,660
8,468
20,457
2,707
4,471
3,845
11,411
0,759
0,535
35,600
5,324
61,695
51,008
0,333
0,280
1,572
10,888
2,551
0,113
4,940
3,806
2,945
16,782
1,269
5,153
1,598
4,254
5,598
0,661
4,162
95,414
0,200
1,406
0,182
4,209
0,474
280,938
60,545
0,303
30,726
55,678
18,459
3,344
2,643
5,276
1,180
66,065
1,844
3,255
7,089
3,277
0,465
0,210
130,165
1,269
51,349
63,608
5,436
4,007
2,425
3,013
41,460
51,581
121,678
0,285
10,986
8,010
44,646
2,281
1,501
2,973
16,998
4,830
4,613
16,112
4,153
2,640
19,832
20,611
3,981
56,420
51,153
4,807
5,618
1,961
0,959
3,342
3,239
10,328
4,595
7,174
2,615
